No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,PTT Prohibit,Reverse,Simplex TDMA,Slot Suit,AES Digital Encryption,Digital Encryption,Call Confirmation,Talk Around(Simplex),Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,Exclude channel from roaming,DMR MODE,DataACK Disable,R5toneBot,R5ToneEot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Open 1,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
185,Open 2,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
186,Open 3,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
187,Open 4,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
188,Open 5,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
189,Open 6,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
190,Open 7,434,434,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,HELP W CODE PLUG,434,434,D-Digital,Low,12.5K,Off,Off,HELP W CODE PLUG,Private Call,3177246,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
197,Radio Test,434,434,D-Digital,Low,12.5K,Off,Off,Radio Test,Group Call,98,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
198,Parrot,434,434,D-Digital,Low,12.5K,Off,Off,Parrot,Private Call,9990,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
199,Disconnect,434,434,D-Digital,Low,12.5K,Off,Off,Disconnect,Group Call,4000,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
200,_HS 438.500,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Local 1,Group Call,1,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,On,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
201,Local,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Local 1,Group Call,1,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
202,Utah,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
203,76ers,438.5,438.5,D-Digital,Low,12.5K,Off,Off,76ers,Group Call,31490,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
204,Northern Utah,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Northern Utah,Group Call,31491,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
205,Davis County,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Davis Utah,Group Call,31492,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
206,Utah TAC,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah TAC,Group Call,31499,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
207,Arizona,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Arizona,Group Call,3104,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
208,Colorado,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Colorado,Group Call,3108,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
209,Nevada,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Nevada,Group Call,3132,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
210,Idaho,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Idaho,Group Call,3116,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
211,Mountain,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Mountain,Group Call,3177,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
212,USA - Area 7,438.5,438.5,D-Digital,Low,12.5K,Off,Off,USA - Area 7,Group Call,31607,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
213,TAC-310 NO CALL,438.5,438.5,D-Digital,Low,12.5K,Off,Off,TAC 310 NO CALL,Group Call,310,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
214,USA Nationwide,438.5,438.5,D-Digital,Low,12.5K,Off,Off,USA Nationwide,Group Call,3100,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
215,North America,438.5,438.5,D-Digital,Low,12.5K,Off,Off,North America,Group Call,93,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
216,Worldwide,438.5,438.5,D-Digital,Low,12.5K,Off,Off,World-wide,Group Call,91,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
217,Europe,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Europe,Group Call,92,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
218,Pacific Rim,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Pacific Rim,Group Call,95,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
219,English,438.5,438.5,D-Digital,Low,12.5K,Off,Off,English,Group Call,913,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
220,Spanish,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Spanish,Group Call,914,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
221,Canada Wide,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Canada Wide,Group Call,302,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
222,UK Wide,438.5,438.5,D-Digital,Low,12.5K,Off,Off,UK Wide,Group Call,2350,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
223,Aus National,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Aus National,Group Call,505,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
224,DMR Campfire,438.5,438.5,D-Digital,Low,12.5K,Off,Off,DMR Campfire,Group Call,31665,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Open 1,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
285,Open 2,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
286,Open 3,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
287,Open 4,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
288,Open 5,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
289,Open 6,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
290,Open 7,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,HELP W CODE PLUG,438.5,438.5,D-Digital,Low,12.5K,Off,Off,HELP W CODE PLUG,Private Call,3177246,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
297,Radio Test,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Radio Test,Group Call,98,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
298,Parrot,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Parrot,Private Call,9990,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
299,Disconnect,438.5,438.5,D-Digital,Low,12.5K,Off,Off,Disconnect,Group Call,4000,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
300,_HS 438.5125,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Local 1,Group Call,1,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,On,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
301,Local,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Local 1,Group Call,1,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
302,Utah,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Utah,Group Call,3149,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
303,76ers,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,76ers,Group Call,31490,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
304,Northern Utah,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Northern Utah,Group Call,31491,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
305,Davis County,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Davis Utah,Group Call,31492,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
306,Utah TAC,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Utah TAC,Group Call,31499,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
307,Arizona,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Arizona,Group Call,3104,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
308,Colorado,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Colorado,Group Call,3108,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
309,Nevada,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Nevada,Group Call,3132,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
310,Idaho,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Idaho,Group Call,3116,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
311,Mountain,438.5125,438.5125,D-Digital,Low,12.5K,Off,Off,Mountain,Group Call,3177,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
